Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobMaya85 className: JobMaya85 parent: JobMaya
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobMentalRay7 className: JobMentalRay7 parent: JobMaya
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobMentalRay8 className: JobMentalRay8 parent: JobMaya
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobMentalRay85 className: JobMentalRay85 parent: JobMaya
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobNuke51 className: JobNuke51 parent: Job
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobNuke52 className: JobNuke52 parent: Job
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobOutput className: JobOutput
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobRealFlow className: JobRealFlow parent: Job
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobRenderMan className: JobRenderMan parent: Job
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobRibGen className: JobRibGen parent: Job
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobService className: JobService
